epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,1957.93,1.19058,1.27636,1.61639,0.71028,0.58668,0.65189,0.37137,1.46464,1.37648,1.96538,0.001604,0.001604,0.001604
18,2073.07,1.19689,1.28618,1.61723,0.7191,0.56487,0.64173,0.36489,1.47572,1.39361,1.99046,0.00157925,0.00157925,0.00157925
19,2187.2,1.18267,1.27146,1.61442,0.74198,0.59759,0.68787,0.40151,1.44786,1.28194,1.91656,0.0015545,0.0015545,0.0015545
20,2302.48,1.16958,1.20898,1.59764,0.7201,0.55531,0.6447,0.36683,1.50949,1.37073,1.96043,0.00152975,0.00152975,0.00152975
21,2416.22,1.1594,1.23932,1.59051,0.74084,0.58094,0.67524,0.38034,1.4919,1.31862,1.95974,0.001505,0.001505,0.001505
22,2530.35,1.15508,1.22315,1.58952,0.78184,0.57061,0.67757,0.40138,1.38706,1.27065,1.87854,0.00148025,0.00148025,0.00148025
23,2644.3,1.14527,1.19411,1.57365,0.80671,0.56543,0.67992,0.40244,1.4253,1.29523,1.95786,0.0014555,0.0014555,0.0014555
24,2759.51,1.12517,1.17905,1.56115,0.78618,0.58094,0.6826,0.41702,1.38244,1.24624,1.85996,0.00143075,0.00143075,0.00143075
25,2873.7,1.13193,1.18004,1.57252,0.78686,0.56797,0.67745,0.40323,1.39892,1.25834,1.91283,0.001406,0.001406,0.001406
26,2985.61,1.12034,1.16949,1.56019,0.76227,0.61768,0.7044,0.42785,1.35457,1.24035,1.82622,0.00138125,0.00138125,0.00138125
27,3098.83,1.10513,1.13431,1.54863,0.75021,0.60687,0.70166,0.42377,1.38379,1.22077,1.84157,0.0013565,0.0013565,0.0013565
28,3210.9,1.1007,1.14389,1.53944,0.76551,0.62593,0.72508,0.45111,1.31517,1.16731,1.77103,0.00133175,0.00133175,0.00133175
29,3323.99,1.09813,1.1218,1.53413,0.7485,0.63554,0.71529,0.45074,1.31822,1.16199,1.8103,0.001307,0.001307,0.001307
30,3436.23,1.08759,1.12641,1.53445,0.74466,0.63835,0.71704,0.42295,1.37865,1.21173,1.84849,0.00128225,0.00128225,0.00128225
31,3547.96,1.08859,1.12511,1.52801,0.76806,0.6039,0.70505,0.42831,1.34357,1.20142,1.81838,0.0012575,0.0012575,0.0012575
32,3660.4,1.08932,1.11933,1.53108,0.7599,0.6349,0.7284,0.45311,1.34249,1.13529,1.79916,0.00123275,0.00123275,0.00123275
33,3773.85,1.08764,1.10616,1.52574,0.75527,0.63146,0.73288,0.46173,1.27786,1.1126,1.77737,0.001208,0.001208,0.001208
34,3887.06,1.07488,1.11407,1.51987,0.79892,0.60668,0.73069,0.46089,1.28664,1.12551,1.78001,0.00118325,0.00118325,0.00118325
35,3999.18,1.06078,1.07704,1.50136,0.76479,0.62801,0.71893,0.44255,1.33332,1.18746,1.7944,0.0011585,0.0011585,0.0011585
36,4110.94,1.0506,1.05917,1.492,0.7784,0.64179,0.74306,0.47895,1.2595,1.09549,1.73812,0.00113375,0.00113375,0.00113375
37,4224.39,1.06006,1.07401,1.49939,0.78203,0.64868,0.74227,0.47255,1.25206,1.09088,1.73552,0.001109,0.001109,0.001109
38,4336.9,1.0356,1.04945,1.48602,0.7724,0.64679,0.75534,0.48196,1.28423,1.06896,1.75149,0.00108425,0.00108425,0.00108425
39,4450.53,1.03294,1.04576,1.47838,0.81496,0.63375,0.74081,0.47244,1.26642,1.10055,1.75733,0.0010595,0.0010595,0.0010595
40,4562.24,1.03171,1.04093,1.48517,0.76791,0.65327,0.76325,0.48987,1.23089,1.06492,1.70201,0.00103475,0.00103475,0.00103475
41,4675.43,1.00982,1.02817,1.46794,0.81816,0.63949,0.75869,0.4856,1.26506,1.04921,1.72852,0.00101,0.00101,0.00101
42,4787.28,1.01628,1.00686,1.46714,0.73965,0.69346,0.76886,0.48568,1.25782,1.05313,1.74439,0.00098525,0.00098525,0.00098525
43,76376.5,1.02946,0.98876,1.47236,0.77732,0.67738,0.77066,0.49126,1.25956,1.06188,1.7109,0.0009605,0.0009605,0.0009605
44,76492.8,1.02729,0.99302,1.46855,0.78838,0.65557,0.76002,0.49148,1.24944,1.04843,1.71086,0.00093575,0.00093575,0.00093575
45,76607.2,1.00956,0.97849,1.45954,0.84096,0.63375,0.76925,0.49028,1.23528,1.03023,1.70353,0.000911,0.000911,0.000911
46,76729.5,0.99947,0.95711,1.45686,0.78601,0.69346,0.77611,0.49586,1.24336,1.05127,1.68858,0.00088625,0.00088625,0.00088625
47,76851.3,0.99604,0.9687,1.44976,0.80352,0.68552,0.79716,0.51187,1.25236,1.01521,1.67737,0.0008615,0.0008615,0.0008615
48,76968.3,0.99141,0.96555,1.45377,0.81208,0.68468,0.78577,0.51516,1.20855,1.00889,1.66123,0.00083675,0.00083675,0.00083675
49,77084.9,0.98584,0.96023,1.44435,0.75898,0.70863,0.78747,0.51839,1.19361,1.00144,1.64182,0.000812,0.000812,0.000812
50,77200.8,0.99814,0.96077,1.4488,0.81877,0.66016,0.78277,0.51884,1.17196,1.02767,1.62478,0.00078725,0.00078725,0.00078725
51,77315.8,0.96744,0.94976,1.43057,0.82771,0.67841,0.78085,0.524,1.16715,0.97071,1.63345,0.0007625,0.0007625,0.0007625
52,77432.9,0.94789,0.92525,1.41532,0.80053,0.70379,0.7946,0.5164,1.20914,0.99769,1.65726,0.00073775,0.00073775,0.00073775
53,77547.3,0.95,0.91451,1.42452,0.79866,0.6969,0.80155,0.529,1.19018,0.96536,1.64877,0.000713,0.000713,0.000713
54,77664,0.95512,0.91829,1.41868,0.836,0.6789,0.79652,0.51671,1.22205,1.00079,1.65457,0.00068825,0.00068825,0.00068825
55,77779,0.94587,0.90673,1.40747,0.79599,0.69001,0.79329,0.52212,1.19091,0.98588,1.64056,0.0006635,0.0006635,0.0006635
56,77893.5,0.9424,0.90638,1.4153,0.85128,0.66361,0.80438,0.53505,1.16525,0.94971,1.62997,0.00063875,0.00063875,0.00063875
57,78009.2,0.94222,0.8916,1.4122,0.81145,0.70608,0.80609,0.54444,1.14175,0.92781,1.588,0.000614,0.000614,0.000614
58,78127,0.91234,0.86936,1.39738,0.79803,0.72216,0.80743,0.53747,1.13943,0.93295,1.5874,0.00058925,0.00058925,0.00058925
59,78243.2,0.92585,0.89548,1.40065,0.80684,0.72101,0.81894,0.54297,1.15172,0.92362,1.58773,0.0005645,0.0005645,0.0005645
60,78360,0.91812,0.87371,1.39432,0.82567,0.70148,0.81206,0.55094,1.12068,0.92271,1.56578,0.00053975,0.00053975,0.00053975
61,78476.5,0.926,0.86211,1.38781,0.80839,0.70953,0.81136,0.55407,1.11546,0.9177,1.56175,0.000515,0.000515,0.000515
62,78593.9,0.89799,0.84462,1.37881,0.8307,0.71986,0.83449,0.57214,1.09305,0.88198,1.52508,0.00049025,0.00049025,0.00049025
63,78711.7,0.90642,0.8373,1.37959,0.77902,0.74053,0.82062,0.56126,1.10789,0.91123,1.55701,0.0004655,0.0004655,0.0004655
64,78826.7,0.91225,0.84168,1.38727,0.81509,0.74901,0.83709,0.57064,1.11508,0.88898,1.54984,0.00044075,0.00044075,0.00044075
65,78942.3,0.89069,0.83938,1.37035,0.82468,0.73938,0.83113,0.57281,1.09708,0.88965,1.5408,0.000416,0.000416,0.000416
66,79059.5,0.89195,0.84112,1.37409,0.86694,0.71065,0.8401,0.57725,1.11672,0.88135,1.56095,0.00039125,0.00039125,0.00039125
67,79176.8,0.88586,0.82591,1.36641,0.83576,0.71068,0.83136,0.56623,1.10652,0.88761,1.54776,0.0003665,0.0003665,0.0003665
68,79292.6,0.87465,0.80786,1.36142,0.83558,0.72331,0.83857,0.57374,1.10439,0.88685,1.55213,0.00034175,0.00034175,0.00034175
69,79409.5,0.87335,0.80512,1.35433,0.82583,0.71314,0.83728,0.57672,1.09772,0.86437,1.53978,0.000317,0.000317,0.000317
70,79525.4,0.86372,0.79473,1.35708,0.88009,0.6946,0.83739,0.58644,1.09322,0.88448,1.52794,0.00029225,0.00029225,0.00029225
71,79654.9,0.8756,0.72528,1.46604,0.82046,0.73364,0.83876,0.58332,1.06934,0.86081,1.51925,0.0002675,0.0002675,0.0002675
72,79770.2,0.84715,0.69243,1.43904,0.8508,0.71183,0.83836,0.58644,1.0676,0.86046,1.5186,0.00024275,0.00024275,0.00024275
73,79887.3,0.84056,0.6678,1.43325,0.8575,0.72445,0.84532,0.58761,1.06862,0.83106,1.52565,0.000218,0.000218,0.000218
74,80004.6,0.817,0.65759,1.40839,0.85861,0.73479,0.85606,0.59293,1.06892,0.82597,1.5274,0.00019325,0.00019325,0.00019325
75,80121.6,0.79599,0.6414,1.39988,0.88229,0.72286,0.85646,0.59637,1.06399,0.8095,1.51615,0.0001685,0.0001685,0.0001685
76,80239.2,0.8037,0.6373,1.39648,0.83833,0.7566,0.8538,0.59618,1.055,0.82065,1.50675,0.00014375,0.00014375,0.00014375
77,80355.3,0.79133,0.62092,1.38518,0.8698,0.7279,0.85628,0.59717,1.05119,0.81208,1.50955,0.000119,0.000119,0.000119
78,80472,0.78243,0.61111,1.38159,0.87559,0.72445,0.85155,0.59563,1.04609,0.81827,1.50325,9.425e-05,9.425e-05,9.425e-05
79,80586.3,0.77279,0.6084,1.36746,0.86902,0.74053,0.86,0.60531,1.03494,0.80287,1.4905,6.95e-05,6.95e-05,6.95e-05
80,80701.4,0.77404,0.6038,1.37305,0.85694,0.75201,0.86169,0.60388,1.03704,0.8004,1.49184,4.475e-05,4.475e-05,4.475e-05
