epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.097,1.54819,1.80436,1.9246,0.1341,0.32262,0.09505,0.03034,2.49353,3.30283,3.26119,0.000665004,0.000665004,0.000665004
2,233.595,1.68574,1.97782,2.03843,0.47352,0.43398,0.33938,0.12488,2.13913,2.46518,2.84798,0.00131519,0.00131519,0.00131519
3,349.065,1.58736,1.84261,1.95436,0.23455,0.25832,0.16096,0.04699,2.52069,2.65417,2.97972,0.00194888,0.00194888,0.00194888
4,462.756,1.52847,1.76309,1.90715,0.50503,0.42021,0.40276,0.18653,1.89029,2.01106,2.46873,0.00192575,0.00192575,0.00192575
5,578.341,1.43003,1.66762,1.82654,0.61906,0.49256,0.49908,0.24878,1.77843,1.8889,2.41232,0.001901,0.001901,0.001901
6,693.736,1.41884,1.61977,1.81486,0.70149,0.51435,0.55102,0.27579,1.73545,1.70041,2.32396,0.00187625,0.00187625,0.00187625
7,808.847,1.36912,1.5436,1.76444,0.70696,0.49943,0.55703,0.28737,1.69223,1.67239,2.23668,0.0018515,0.0018515,0.0018515
8,924.176,1.33622,1.50001,1.74622,0.65941,0.50172,0.56186,0.28221,1.72942,1.6994,2.29388,0.00182675,0.00182675,0.00182675
9,1038.17,1.32201,1.47605,1.74447,0.70617,0.53254,0.61891,0.31977,1.64806,1.63626,2.15462,0.001802,0.001802,0.001802
10,1153.47,1.31629,1.45023,1.71555,0.72981,0.53042,0.59813,0.31246,1.63894,1.57204,2.12049,0.00177725,0.00177725,0.00177725
11,1268,1.30334,1.41266,1.70941,0.69665,0.52124,0.58436,0.29687,1.66471,1.59332,2.16128,0.0017525,0.0017525,0.0017525
12,1382.2,1.26139,1.37734,1.67883,0.717,0.50612,0.59547,0.33066,1.58461,1.54574,2.10511,0.00172775,0.00172775,0.00172775
13,1496.91,1.24768,1.37681,1.66508,0.68925,0.54994,0.62987,0.33706,1.58747,1.50177,2.0779,0.001703,0.001703,0.001703
14,1612.29,1.23064,1.35476,1.65531,0.73168,0.53272,0.62137,0.34369,1.49458,1.45139,2.03737,0.00167825,0.00167825,0.00167825
15,1727.19,1.23637,1.34394,1.64967,0.65305,0.5775,0.63214,0.35707,1.48094,1.41659,1.97025,0.0016535,0.0016535,0.0016535
16,1842.43,1.18245,1.27674,1.61576,0.74798,0.5465,0.63668,0.36533,1.47667,1.45299,1.97693,0.00162875,0.00162875,0.00162875
