epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.7597,1.1903,1.92806,1.61394,0.41155,0.41674,0.30208,0.11012,1.93757,2.56885,2.55143,0.000660066,0.000660066,0.000660066
2,69.2147,1.31299,1.61263,1.70511,0.50634,0.46498,0.43726,0.17531,1.86718,3.10194,2.60147,0.00130046,0.00130046,0.00130046
3,99.041,1.3035,1.50802,1.68322,0.52067,0.37428,0.35558,0.13373,2.24728,2.6738,2.84422,0.00191446,0.00191446,0.00191446
4,128.539,1.35496,1.53035,1.74152,0.51749,0.49024,0.41561,0.15698,1.96092,2.18755,2.6719,0.0018812,0.0018812,0.0018812
5,158.094,1.29516,1.44073,1.68541,0.47955,0.46269,0.39525,0.17339,1.90914,2.10172,2.5104,0.0018416,0.0018416,0.0018416
6,188.299,1.28133,1.40704,1.67758,0.63377,0.57979,0.59497,0.30268,1.61838,1.66308,2.1069,0.001802,0.001802,0.001802
7,218.099,1.24533,1.34829,1.63253,0.70635,0.53042,0.58309,0.31755,1.61643,1.71907,2.21147,0.0017624,0.0017624,0.0017624
8,247.943,1.22343,1.32789,1.62166,0.63306,0.56372,0.59197,0.2913,1.62336,1.62694,2.15267,0.0017228,0.0017228,0.0017228
9,278.34,1.1701,1.25439,1.58663,0.71356,0.58632,0.66344,0.36224,1.47411,1.45535,1.95412,0.0016832,0.0016832,0.0016832
10,308.522,1.1681,1.22252,1.57561,0.68619,0.56602,0.62012,0.31102,1.63535,1.62651,2.15414,0.0016436,0.0016436,0.0016436
11,339.539,1.13603,1.19267,1.56078,0.74538,0.56946,0.61838,0.33828,1.65964,1.62418,2.24615,0.001604,0.001604,0.001604
12,369.492,1.12708,1.18021,1.54727,0.75919,0.59931,0.67283,0.39304,1.42129,1.36126,1.89744,0.0015644,0.0015644,0.0015644
13,399.78,1.12108,1.17844,1.5499,0.76213,0.5752,0.67782,0.38946,1.46768,1.40745,1.97472,0.0015248,0.0015248,0.0015248
