epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5608,1.17875,1.87653,1.60324,0.51326,0.42939,0.38961,0.17618,1.89914,2.27323,2.7553,0.000660066,0.000660066,0.000660066
2,69.5708,1.30845,1.57637,1.69802,0.5941,0.47052,0.43461,0.19226,1.99693,2.23024,2.87477,0.00130046,0.00130046,0.00130046
3,99.7931,1.30377,1.47039,1.68328,0.5197,0.45095,0.41517,0.17784,2.05957,2.20445,2.85102,0.00191446,0.00191446,0.00191446
4,130.971,1.33689,1.4549,1.72069,0.5589,0.4271,0.45522,0.22781,1.71458,1.99962,2.35903,0.0018812,0.0018812,0.0018812
5,161.411,1.25936,1.36513,1.65008,0.65453,0.46767,0.52798,0.25128,1.73258,1.98341,2.19727,0.0018416,0.0018416,0.0018416
6,191.075,1.24234,1.3239,1.64714,0.757,0.54305,0.63237,0.34174,1.55006,1.50558,2.11397,0.001802,0.001802,0.001802
7,220.633,1.21637,1.29424,1.61,0.73767,0.51435,0.59632,0.31579,1.71726,1.65393,2.29407,0.0017624,0.0017624,0.0017624
8,249.972,1.17985,1.25448,1.59294,0.78627,0.53217,0.62627,0.35317,1.55505,1.55362,2.04036,0.0017228,0.0017228,0.0017228
9,279.329,1.13438,1.1895,1.56585,0.68855,0.58324,0.64956,0.36775,1.47482,1.71593,1.93208,0.0016832,0.0016832,0.0016832
10,309.087,1.11599,1.15214,1.53978,0.73544,0.57405,0.68136,0.39317,1.42478,1.36541,1.93906,0.0016436,0.0016436,0.0016436
11,339.315,1.10574,1.11127,1.53397,0.74023,0.63375,0.72561,0.41935,1.43061,1.27632,1.87406,0.001604,0.001604,0.001604
12,369.017,1.08846,1.09437,1.52085,0.71161,0.54879,0.64934,0.36754,1.45929,1.45946,1.88493,0.0015644,0.0015644,0.0015644
13,398.624,1.06851,1.09706,1.50457,0.82028,0.56594,0.66749,0.39315,1.47798,1.38751,2.01932,0.0015248,0.0015248,0.0015248
14,428.623,1.06139,1.05414,1.50174,0.73732,0.59242,0.68313,0.37632,1.45892,1.33502,1.99538,0.0014852,0.0014852,0.0014852
15,458.759,1.05065,1.05572,1.48772,0.81613,0.63146,0.74537,0.45466,1.31017,1.17808,1.80069,0.0014456,0.0014456,0.0014456
16,488.25,1.04189,1.02219,1.48159,0.7877,0.64179,0.7479,0.46097,1.34515,1.12541,1.79115,0.001406,0.001406,0.001406
17,517.79,1.04111,1.0132,1.47459,0.77331,0.63056,0.74552,0.44209,1.36116,1.20254,1.7984,0.0013664,0.0013664,0.0013664
18,547.169,1.02122,0.99687,1.45708,0.75702,0.67604,0.77147,0.48001,1.29053,1.10025,1.7058,0.0013268,0.0013268,0.0013268
