epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15299.1,1.13266,1.178,1.56512,0.8169,0.58324,0.69819,0.4395,1.27459,1.18365,1.77061,0.001307,0.001307,0.001307
44,15555.2,1.10719,1.15711,1.5558,0.78833,0.61998,0.71032,0.44742,1.24022,1.17897,1.73793,0.0012905,0.0012905,0.0012905
45,15811.6,1.10352,1.14948,1.5594,0.83935,0.59931,0.72685,0.46094,1.2645,1.10746,1.74633,0.001274,0.001274,0.001274
46,16072.7,1.1098,1.14435,1.55042,0.81734,0.60046,0.71307,0.45669,1.26037,1.11274,1.75134,0.0012575,0.0012575,0.0012575
47,16329.1,1.11249,1.1676,1.55729,0.79811,0.62687,0.72074,0.45907,1.24813,1.1094,1.71983,0.001241,0.001241,0.001241
48,16585.2,1.10267,1.14705,1.55477,0.80644,0.61653,0.7201,0.45477,1.26376,1.12997,1.73762,0.0012245,0.0012245,0.0012245
49,16842.6,1.10804,1.15721,1.55347,0.80424,0.61316,0.71094,0.45005,1.26912,1.11626,1.75209,0.001208,0.001208,0.001208
50,17098.2,1.0955,1.13072,1.54642,0.75109,0.62342,0.72205,0.46537,1.21713,1.12122,1.6995,0.0011915,0.0011915,0.0011915
51,17357.9,1.09814,1.13662,1.54533,0.81855,0.61633,0.72005,0.46849,1.22236,1.07662,1.70197,0.001175,0.001175,0.001175
52,17617.9,1.07513,1.10891,1.52331,0.78253,0.63949,0.72755,0.47045,1.23456,1.06548,1.7049,0.0011585,0.0011585,0.0011585
53,17877.6,1.07839,1.09547,1.52997,0.75856,0.63847,0.72931,0.46274,1.26104,1.07004,1.71852,0.001142,0.001142,0.001142
54,18146.5,1.07726,1.11165,1.53105,0.78862,0.62227,0.72887,0.46579,1.24244,1.08959,1.71521,0.0011255,0.0011255,0.0011255
55,18405,1.06585,1.07941,1.51641,0.76671,0.63769,0.73607,0.47272,1.23061,1.09299,1.70488,0.001109,0.001109,0.001109
56,18711.9,1.06061,1.08618,1.52216,0.78695,0.62572,0.72524,0.46335,1.23873,1.08246,1.71758,0.0010925,0.0010925,0.0010925
57,18980.7,1.05522,1.07735,1.51753,0.86262,0.62687,0.75617,0.49212,1.19318,1.01188,1.67383,0.001076,0.001076,0.001076
58,19241.8,1.05409,1.08327,1.51461,0.80285,0.62687,0.73937,0.48715,1.199,1.03085,1.66612,0.0010595,0.0010595,0.0010595
59,19575.3,1.06816,1.07471,1.52121,0.77628,0.6372,0.74282,0.49042,1.20051,1.016,1.66188,0.001043,0.001043,0.001043
60,19831.2,1.04957,1.07696,1.50795,0.81245,0.63261,0.74918,0.49822,1.17576,1.01831,1.64489,0.0010265,0.0010265,0.0010265
61,20124.2,1.02738,1.04876,1.49483,0.79078,0.65672,0.74888,0.49164,1.20303,1.00985,1.66241,0.00101,0.00101,0.00101
62,20408.4,1.04089,1.06843,1.50046,0.81251,0.64294,0.76169,0.50744,1.16855,0.98887,1.6418,0.0009935,0.0009935,0.0009935
63,20670.4,1.02447,1.03021,1.49089,0.79428,0.64064,0.75166,0.50344,1.15954,0.99907,1.63203,0.000977,0.000977,0.000977
64,20926.5,1.01708,1.00729,1.4796,0.82321,0.62015,0.74461,0.49741,1.16941,1.01527,1.63141,0.0009605,0.0009605,0.0009605
65,21182.7,1.02345,1.03788,1.48509,0.79817,0.65786,0.74926,0.49429,1.17216,0.99691,1.64389,0.000944,0.000944,0.000944
66,21440.6,1.00656,1.00811,1.48177,0.79114,0.65901,0.75789,0.49917,1.1643,1.00072,1.64139,0.0009275,0.0009275,0.0009275
67,21696.9,1.00984,1.00471,1.48221,0.82859,0.64983,0.76399,0.49838,1.19958,0.98409,1.65369,0.000911,0.000911,0.000911
68,21953,1.02559,1.04022,1.48971,0.84828,0.64524,0.78071,0.51317,1.16931,0.96314,1.6182,0.0008945,0.0008945,0.0008945
69,22213.6,1.00889,1.00286,1.47542,0.86681,0.63835,0.77524,0.51503,1.17089,0.96293,1.63208,0.000878,0.000878,0.000878
70,22473.1,0.99868,0.99489,1.47276,0.8356,0.64294,0.77193,0.51967,1.14411,0.96558,1.60757,0.0008615,0.0008615,0.0008615
71,22732.9,1.0025,0.98963,1.47529,0.82103,0.64983,0.76826,0.5109,1.16337,0.97249,1.61332,0.000845,0.000845,0.000845
72,22990.3,0.98453,0.97156,1.45223,0.84242,0.64294,0.77431,0.52212,1.13877,0.94318,1.59749,0.0008285,0.0008285,0.0008285
73,23275.9,1.00552,0.99849,1.47954,0.83115,0.65786,0.77649,0.5212,1.17111,0.94144,1.63316,0.000812,0.000812,0.000812
74,23533.9,0.99511,0.98176,1.47166,0.80389,0.65901,0.77519,0.52782,1.14024,0.94462,1.5979,0.0007955,0.0007955,0.0007955
75,23870,0.96933,0.96653,1.44999,0.83839,0.65098,0.78145,0.53485,1.11144,0.928,1.57984,0.000779,0.000779,0.000779
76,24129.2,0.98311,0.97184,1.45961,0.85956,0.64524,0.78068,0.52747,1.11977,0.92567,1.58309,0.0007625,0.0007625,0.0007625
77,24385.1,0.98346,0.9685,1.45975,0.83691,0.65672,0.78978,0.52948,1.13473,0.90637,1.60341,0.000746,0.000746,0.000746
78,24666.3,0.9755,0.96018,1.4451,0.78957,0.68497,0.77872,0.53674,1.10408,0.91555,1.57278,0.0007295,0.0007295,0.0007295
79,24938.9,0.97844,0.95688,1.44111,0.80245,0.68083,0.79187,0.53626,1.1325,0.91426,1.59185,0.000713,0.000713,0.000713
80,25198.3,0.95855,0.93439,1.43761,0.8094,0.67282,0.78812,0.54093,1.11385,0.89636,1.57635,0.0006965,0.0006965,0.0006965
81,25467.3,0.97479,0.95989,1.4522,0.80509,0.68083,0.78194,0.53738,1.09089,0.91178,1.55234,0.00068,0.00068,0.00068
82,25857.7,0.95043,0.94171,1.42401,0.84627,0.65728,0.7901,0.54561,1.10671,0.89751,1.57853,0.0006635,0.0006635,0.0006635
83,26118.4,0.94666,0.92685,1.4356,0.81898,0.68565,0.79458,0.54767,1.0974,0.88766,1.55651,0.000647,0.000647,0.000647
84,26378.2,0.95316,0.9259,1.4372,0.84802,0.69188,0.80342,0.55589,1.09754,0.8719,1.56095,0.0006305,0.0006305,0.0006305
85,26637.5,0.96265,0.93383,1.44659,0.79426,0.69805,0.7981,0.55241,1.09963,0.88552,1.55238,0.000614,0.000614,0.000614
86,26893.4,0.9454,0.93233,1.41778,0.80626,0.70236,0.8103,0.56181,1.08532,0.86955,1.54539,0.0005975,0.0005975,0.0005975
87,27153.1,0.93933,0.91556,1.42718,0.82957,0.68083,0.79985,0.5488,1.10633,0.88766,1.55731,0.000581,0.000581,0.000581
88,27411,0.93227,0.89807,1.41503,0.79553,0.70838,0.7968,0.55454,1.09982,0.87891,1.55417,0.0005645,0.0005645,0.0005645
89,27667.2,0.93623,0.91052,1.41636,0.7952,0.71327,0.80024,0.54967,1.10758,0.88438,1.56832,0.000548,0.000548,0.000548
90,27925.1,0.92697,0.90382,1.41636,0.81603,0.69575,0.80716,0.56255,1.08289,0.86922,1.53702,0.0005315,0.0005315,0.0005315
91,28185,0.92423,0.88491,1.40847,0.86275,0.67279,0.81167,0.56152,1.07233,0.86081,1.53721,0.000515,0.000515,0.000515
